GameIndex,Player_1_name,Player_1_draws,Player_1_cells_left,Player_2_name,Player_2_draws,Player_2_cells_left,Player_3_name,Player_3_draws,Player_3_cells_left,Player_4_name,Player_4_draws,Player_4_cells_left,OpeningPlayer,Winner,PlayerCount,Score,Turns,Seed,CellsUndrawn,CellsOnTable,CellsAmountCheck
18,Rocket,0,1,Krecik,1,2,Protokół Zgredek,0,0,,,,Protokół Zgredek,Protokół Zgredek,3,24,4,5,12,13,True
18,Krecik,1,2,Protokół Zgredek,0,0,Rocket,1,1,,,,Rocket,Protokół Zgredek,3,14,5,6,11,14,True
18,Krecik,0,0,Protokół Zgredek,0,1,Rocket,3,3,,,,Rocket,Krecik,3,24,5,7,10,14,True
18,Rocket,1,2,Krecik,0,0,Protokół Zgredek,1,1,,,,Protokół Zgredek,Krecik,3,15,5,8,11,14,True
18,Krecik,1,3,Protokół Zgredek,0,1,Rocket,0,0,,,,Rocket,Rocket,3,32,4,9,12,12,True
18,Krecik,2,2,Protokół Zgredek,2,1,Rocket,1,0,,,,Rocket,Rocket,3,22,6,10,8,17,True
18,Protokół Zgredek,2,2,Rocket,2,1,Krecik,2,0,,,,Krecik,Rocket,3,4,7,11,7,18,True
18,Rocket,1,2,Krecik,1,1,Protokół Zgredek,1,0,,,,Protokół Zgredek,Protokół Zgredek,3,20,5,12,10,15,True
18,Rocket,3,3,Krecik,1,0,Protokół Zgredek,4,4,,,,Protokół Zgredek,Krecik,3,39,7,13,5,16,True
19,Diogenes,0,0,Protokół Zgredek,1,3,Rocket,1,1,,,,Rocket,Diogenes,3,21,5,0,11,13,True
19,Rocket,0,1,Diogenes,0,1,Protokół Zgredek,0,0,,,,Protokół Zgredek,Protokół Zgredek,3,8,4,1,13,13,True
19,Diogenes,1,3,Protokół Zgredek,0,1,Rocket,0,0,,,,Rocket,Rocket,3,24,4,2,12,12,True
19,Protokół Zgredek,0,0,Rocket,0,1,Diogenes,1,1,,,,Diogenes,Protokół Zgredek,3,6,5,3,12,14,True
19,Diogenes,3,2,Protokół Zgredek,1,0,Rocket,3,3,,,,Rocket,Protokół Zgredek,3,18,7,4,6,17,True
19,Rocket,0,1,Diogenes,1,2,Protokół Zgredek,0,0,,,,Protokół Zgredek,Protokół Zgredek,3,24,4,5,12,13,True
19,Diogenes,1,2,Protokół Zgredek,0,0,Rocket,1,1,,,,Rocket,Protokół Zgredek,3,25,5,6,11,14,True
19,Diogenes,0,0,Protokół Zgredek,0,1,Rocket,2,2,,,,Rocket,Diogenes,3,15,5,7,11,14,True
19,Rocket,2,2,Diogenes,1,1,Protokół Zgredek,2,0,,,,Protokół Zgredek,Protokół Zgredek,3,13,6,8,8,17,True
19,Diogenes,1,3,Protokół Zgredek,0,1,Rocket,0,0,,,,Rocket,Rocket,3,32,4,9,12,12,True
19,Diogenes,2,2,Protokół Zgredek,2,1,Rocket,1,0,,,,Rocket,Rocket,3,22,6,10,8,17,True
19,Protokół Zgredek,2,2,Rocket,2,1,Diogenes,2,0,,,,Diogenes,Rocket,3,4,7,11,7,18,True
19,Rocket,0,1,Diogenes,0,1,Protokół Zgredek,0,0,,,,Protokół Zgredek,Protokół Zgredek,3,9,4,12,13,13,True
20,Diogenes,0,1,Protokół Zgredek,0,1,Krecik,0,0,,,,Krecik,Krecik,3,4,4,0,13,13,True
20,Krecik,1,2,Diogenes,1,2,Protokół Zgredek,1,0,,,,Protokół Zgredek,Protokół Zgredek,3,28,5,1,10,14,True
20,Diogenes,2,2,Protokół Zgredek,1,0,Krecik,3,5,,,,Krecik,Protokół Zgredek,3,57,6,2,7,14,True
20,Protokół Zgredek,1,2,Krecik,0,1,Diogenes,0,0,,,,Diogenes,Diogenes,3,27,4,3,12,13,True
20,Diogenes,1,1,Protokół Zgredek,0,0,Krecik,3,5,,,,Krecik,Protokół Zgredek,3,40,5,4,9,13,True
21,Rocket,2,3,Krecik,2,3,Diogenes,1,0,Whateva,2,2,Whateva,Diogenes,4,46,6,0,1,19,True
21,Diogenes,0,1,Whateva,0,1,Rocket,1,2,Krecik,0,0,Krecik,Krecik,4,23,4,1,7,17,True
21,Rocket,1,2,Krecik,0,1,Diogenes,0,1,Whateva,0,0,Whateva,Whateva,4,28,4,2,7,17,True
21,Whateva,3,5,Rocket,0,1,Krecik,0,1,Diogenes,0,0,Diogenes,Diogenes,4,40,4,3,5,16,True
21,Whateva,2,3,Rocket,1,2,Krecik,2,4,Diogenes,3,4,Diogenes,Rocket,4,70,6,4,0,15,True
21,Diogenes,1,2,Whateva,2,2,Rocket,0,0,Krecik,1,1,Krecik,Rocket,4,36,5,5,4,19,True
22,Rocket,3,5,Krecik,1,2,Protokół Zgredek,2,3,Whateva,2,2,Whateva,Whateva,4,66,6,0,0,16,True
22,Protokół Zgredek,0,1,Whateva,0,1,Rocket,1,2,Krecik,0,0,Krecik,Krecik,4,23,4,1,7,17,True
22,Rocket,1,2,Krecik,0,1,Protokół Zgredek,0,1,Whateva,0,0,Whateva,Whateva,4,28,4,2,7,17,True
22,Whateva,3,5,Rocket,0,1,Krecik,0,1,Protokół Zgredek,0,0,Protokół Zgredek,Protokół Zgredek,4,40,4,3,5,16,True
22,Whateva,0,0,Rocket,1,3,Krecik,0,1,Protokół Zgredek,2,2,Protokół Zgredek,Whateva,4,38,5,4,5,17,True
23,Rocket,1,1,Diogenes,1,1,Protokół Zgredek,1,0,Whateva,2,1,Whateva,Protokół Zgredek,4,16,6,0,3,22,True
